# Wordlist

# DATA
ID	DOCULECT	DOCULECT_IN_SOURCE	GLOTTOCODE	CONCEPTICON_ID	CONCEPT	VALUE	FORM	SOURCE	BVD_ID	COGID	BORROWING	VARIANTS	TOKENS
1856	Mangareva	Mangareva	mang1401	493	Five	rima	rima	POLLEX	321425	2		rima	r i m a
2117	Luangiua	Luangiua	onto1237	493	Five	lima	lima	POLLEX	83778	2			l i m a
2339	Tongan	Tongan	tong1325	493	Five	nima	nima	117207	83767	2			n i m a
2553	Rakahanga_Manihiki	Manihiki	raka1237	493	Five	taapahi	taapahi	Clark-589-2008	153556	1445			t aː p a h i
2554	Rakahanga_Manihiki	Manihiki	raka1237	493	Five	lima	lima	Clark-589-2008	153555	2			l i m a
2826	Tikopia	Tikopia	tiko1237	493	Five	rima	rima	POLLEX	83768	2			r i m a
3079	Sikaiana	Sikaiana	sika1261	493	Five	lima	lima	POLLEX	83781	2			l i m a
3300	North_Marquesan	Marquesan	nort2845	493	Five	'ima	'ima	POLLEX	83758	2			ʔ i m a
3594	East_Futunan	Futuna, East	east2447	493	Five	lima	lima	POLLEX	83772	2			l i m a
3900	Pukapuka	Pukapuka	puka1242	493	Five	lima	lima	Salisbury-152-2005	89950	2			l i m a
4204	Mele_Fila	Fila	mele1250	493	Five	e-rima	e-rima	52375	265409	2			e r i m a
4398	Ra’ivavae	Ra'ivavae	aust1304	493	Five	pae	pae	Tamaititahio-1213-2015	291334	1381			p a e
4595	Tuamotuan	Tuamotu	tuam1242	493	Five	rima	rima	POLLEX	83783	2			r i m a
4858	Niuean	Niue	niue1239	493	Five	lima	lima	POLLEX	83784	2			l i m a
5104	Rurutuan	Rurutuan	aust1304	493	Five	pae	pae	Meyer-128-2005	165165	1381			p a e
5361	Futuna_Aniwa	Futuna-Aniwa	futu1245	493	Five	rima	rima	POLLEX	83788	2			r i m a
5617	Hawaiian	Hawaiian	hawa1245	493	Five	lima	lima	71458	83759	2			l i m a
5853	Rarotongan	Rarotongan	raro1241	493	Five	rima	rima	POLLEX	83760	2			r i m a
6155	Penryhn	Penrhyn	penr1237	493	Five	rima	rima	POLLEX	83777	2			r i m a
6365	Nukuria	Nukeria	nuku1259	493	Five	rima	rima	Davletshin-1212-2015	290905	2			r i m a
6626	Samoan	Samoan	samo1305	493	Five	lima	lima	Blust-118-2005	83766	2			l i m a
6917	Rennell_Bellona	Rennellese	renn1242	493	Five	gima	gima	POLLEX	83771	2			g i m a
7181	Tuvalu	Nanumea	tuva1244	493	Five	lima	lima	29903	192220	2			l i m a
7438	Anuta	Anuta	anut1237	493	Five	nima	nima	POLLEX	83785	2			n i m a
#
12	Vaeakau_Taumako	Vaeakau-Taumako	pile1238	1500	Four	haa	haa	Hovdhaugen-375-2009	89596	3			h aː
255	Wallisian	Uvea, East	wall1257	1500	Four	faa	faa	POLLEX	71301	3			f aː
729	Maori	Maori	maor1246	1500	Four	whaa	faː	Biggs-85-2005	71128	3			f aː
952	Kapingamarangi	Kapingamarangi	kapi1249	1500	Four	haa	haa	POLLEX	71260	3			h aː
1174	Tahitian	Tahitian (Modern)	tahi1242	1500	Four	maha	maha	Clark-173-2005	71216	3			m a h a
1405	Emae	Emae (Makatea)	emae1237	1500	Four	fa	fa	52375	265221	3			f a
1599	Rapanui	Rapanui (Easter Island)	rapa1244	1500	Four	ha	ha	POLLEX	133545	3		haa	h a
1857	Mangareva	Mangareva	mang1401	1500	Four	'a	'a	POLLEX	321435	3		à	ʔ a
2118	Luangiua	Luangiua	onto1237	1500	Four	hā	hā	POLLEX	146604	3			h aː
2340	Tongan	Tongan	tong1325	1500	Four	fā	fā	117207	71179	3			f aː
2555	Rakahanga_Manihiki	Manihiki	raka1237	1500	Four	faa	faa	Clark-589-2008	153390	3			f aː
2827	Tikopia	Tikopia	tiko1237	1500	Four	faa	faa	POLLEX	71198	3			f aː
3080	Sikaiana	Sikaiana	sika1261	1500	Four	hā	hā	POLLEX	145960	3			h aː
3301	North_Marquesan	Marquesan	nort2845	1500	Four	faa	faa	POLLEX	71081	3			f aː
3595	East_Futunan	Futuna, East	east2447	1500	Four	faa	faa	POLLEX	71253	3			f aː
3901	Pukapuka	Pukapuka	puka1242	1500	Four	wā	wā	Salisbury-152-2005	71195	3			w aː
4205	Mele_Fila	Fila	mele1250	1500	Four	e-fa	e-fa	52375	265231	3			e f a
4399	Ra’ivavae	Ra'ivavae	aust1304	1500	Four	maha	maha	Tamaititahio-1213-2015	291333	3			m a h a
4596	Tuamotuan	Tuamotu	tuam1242	1500	Four	haa	haa	POLLEX	89925	3		faa	h aː
4859	Niuean	Niue	niue1239	1500	Four	faa	faa	POLLEX	71290	3			f aː
5105	Rurutuan	Rurutuan	aust1304	1500	Four	ʔa	ʔa	Meyer-128-2005	83040	3		maʔa	ʔ a
5362	Futuna_Aniwa	Futuna-Aniwa	futu1245	1500	Four	fa	fa	POLLEX	71304	3		hfa [fʰa]	f a
5618	Hawaiian	Hawaiian	hawa1245	1500	Four	hā	hā	71458	71095	3			h aː
5854	Rarotongan	Rarotongan	raro1241	1500	Four	àa	àa	POLLEX	71101	3			ʔ a a
6156	Penryhn	Penrhyn	penr1237	1500	Four	haa	haa	POLLEX	71278	3			h aː
6366	Nukuria	Nukeria	nuku1259	1500	Four	haa	haa	Davletshin-1212-2015	290904	3			h aː
6627	Samoan	Samoan	samo1305	1500	Four	e fā	e fā	Blust-118-2005	71161	3			e f aː
6918	Rennell_Bellona	Rennellese	renn1242	1500	Four	haa	haa	POLLEX	71249	3			h aː
7182	Tuvalu	Nanumea	tuva1244	1500	Four	faa	faa	29903	192219	3			f aː
7439	Anuta	Anuta	anut1237	1500	Four	paa	paa	POLLEX	71296	3			p aː
#
39	Vaeakau_Taumako	Vaeakau-Taumako	pile1238	1209	I	au	au	Hovdhaugen-375-2009	123688	4		iau	a u
276	Wallisian	Uvea, East	wall1257	1209	I	koau	koau	POLLEX	168009	4			k o a u
753	Maori	Maori	maor1246	1209	I	au	au	Biggs-85-2005	64702	4			a u
972	Kapingamarangi	Kapingamarangi	kapi1249	1209	I	au	au	POLLEX	64834	4			a u
1198	Tahitian	Tahitian (Modern)	tahi1242	1209	I	vau	vau	Clark-173-2005	81800	4			v a u
1199	Tahitian	Tahitian (Modern)	tahi1242	1209	I	au	au	Clark-173-2005	81799	4			a u
1428	Emae	Emae (Makatea)	emae1237	1209	I	kou	kou	52375	268287	4			k o u
1622	Rapanui	Rapanui (Easter Island)	rapa1244	1209	I	au	au	POLLEX	133553	4			a u
1877	Mangareva	Mangareva	mang1401	1209	I	au	au	POLLEX	321566	4			a u
2140	Luangiua	Luangiua	onto1237	1209	I	aŋau	aŋau	POLLEX	118989	4			a ŋ a u
